#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
2	NM_003594	chr1	+	117404471	117447014	117404491	117445669	23	117404471,117404599,117406531,117417805,117419014,117420324,117420785,117422060,117423712,117425972,117428162,117430561,117432945,117434199,117434676,117435472,117435961,117436875,117439453,117440293,117441495,117442977,117445524,	117404519,117404702,117406618,117417872,117420004,117420439,117420968,117422188,117423794,117426092,117428313,117430667,117433127,117434353,117434768,117435555,117436095,117437046,117439512,117440444,117441578,117443052,117447014,	0	TTF2	cmpl	cmpl	0,1,2,2,0,0,1,1,0,1,1,2,0,2,0,2,1,0,0,2,0,2,2,
2	NM_152697	chr1	-	75444662	75849387	75444879	75779720	24	75444662,75449740,75451977,75452191,75452877,75454026,75456138,75456762,75457529,75458072,75460633,75465998,75472258,75475259,75476785,75480273,75481158,75489482,75513230,75538884,75577854,75634855,75779707,75849312,	75444992,75449825,75452066,75452262,75452951,75454130,75456233,75457025,75457617,75458165,75460733,75466130,75472371,75475343,75476909,75480334,75481284,75489567,75513315,75538958,75577903,75634894,75779789,75849387,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,2,1,1,0,-1,
2	NM_001319211	chr1	+	100583158	100737609	100615723	100737523	15	100583158,100591905,100615689,100628875,100662365,100678075,100681077,100693548,100700794,100706099,100722435,100732961,100734145,100736228,100737072,	100583327,100591996,100615765,100628968,100662445,100678142,100681140,100693636,100701025,100706238,100722595,100733074,100734193,100736351,100737609,	0	CDC14A	cmpl	cmpl	-1,-1,0,0,0,2,0,0,1,1,2,0,2,2,2,
2	NM_001319212	chr1	+	100590610	100737609	100706140	100737523	14	100590610,100591905,100615689,100628875,100662365,100678075,100681077,100700794,100706099,100722435,100732961,100734145,100736228,100737072,	100591147,100591996,100615765,100628968,100662445,100678142,100681140,100701025,100706238,100722595,100733074,100734193,100736351,100737609,	0	CDC14A	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,2,2,2,
2	NM_001320285	chr1	-	75440405	75849389	75441999	75538933	26	75440405,75449740,75451977,75452191,75452877,75454026,75456138,75456762,75457529,75458072,75460633,75465998,75472258,75475259,75476785,75480273,75481158,75489482,75513230,75538884,75549887,75577854,75634855,75636627,75779707,75849312,	75442106,75449825,75452066,75452262,75452951,75454130,75456233,75457025,75457617,75458165,75460733,75466130,75472371,75475343,75476909,75480334,75481284,75489567,75513315,75538958,75549978,75577903,75634894,75636694,75779789,75849389,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,0,-1,-1,-1,-1,-1,-1,
2	NR_119375	chr1	-	83814059	84099267	84099267	84099267	3	83814059,83988468,84099089,	83816943,83988570,84099267,	0	LINC01725	unk	unk	-1,-1,-1,
2	NM_001320287	chr1	-	75440405	75849389	75441999	75538933	25	75440405,75449740,75451977,75452191,75452877,75454026,75456138,75456762,75457529,75458072,75460633,75465998,75472258,75475259,75476785,75480273,75481158,75489482,75513230,75538884,75549887,75577854,75634855,75779707,75849312,	75442106,75449825,75452066,75452262,75452951,75454130,75456233,75457025,75457617,75458165,75460733,75466130,75472371,75475343,75476909,75480334,75481284,75489567,75513315,75538958,75549978,75577903,75634894,75779789,75849389,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,0,-1,-1,-1,-1,-1,
2	NM_001320283	chr1	-	75444404	75854282	75444879	75854159	22	75444404,75449740,75451977,75452191,75452877,75454026,75456138,75456762,75457529,75458072,75460633,75465998,75472258,75475259,75476785,75480273,75481158,75489482,75513230,75538884,75577854,75854125,	75444992,75449825,75452066,75452262,75452951,75454130,75456233,75457025,75457617,75458165,75460733,75466130,75472371,75475343,75476909,75480334,75481284,75489567,75513315,75538958,75577903,75854282,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,2,1,0,
2	NM_003672	chr1	+	100590610	100758421	100591098	100756424	16	100590610,100591905,100615689,100628875,100662365,100678075,100681077,100693548,100700794,100706099,100722435,100732961,100734145,100736228,100737072,100756394,	100591147,100591996,100615765,100628968,100662445,100678142,100681140,100693636,100701025,100706238,100722595,100733074,100734193,100736351,100737406,100758421,	0	CDC14A	cmpl	cmpl	0,1,2,0,0,2,0,0,1,1,2,0,2,2,2,0,
2	NM_173567	chr1	+	92268120	92301681	92268224	92301431	7	92268120,92270649,92280967,92283676,92288461,92290654,92301199,	92268455,92270735,92281125,92283805,92288565,92290803,92301681,	0	EPHX4	cmpl	cmpl	0,0,2,1,1,0,2,
2	NM_001319210	chr1	+	100590610	100758421	100591098	100743035	17	100590610,100591905,100615689,100628875,100662365,100678075,100681077,100693548,100700794,100706099,100722435,100732961,100734145,100736228,100737072,100742957,100756394,	100591147,100591996,100615765,100628968,100662445,100678142,100681140,100693636,100701025,100706238,100722595,100733074,100734193,100736351,100737406,100743081,100758421,	0	CDC14A	cmpl	cmpl	0,1,2,0,0,2,0,0,1,1,2,0,2,2,2,0,-1,
2	NM_001130058	chr1	-	75440403	75849387	75441999	75779720	24	75440403,75449740,75451977,75452191,75452877,75454026,75456138,75456762,75457529,75458072,75460633,75465998,75472258,75475259,75476785,75480273,75481158,75489482,75513230,75538884,75577854,75634855,75779707,75849312,	75442106,75449825,75452066,75452262,75452951,75454130,75456233,75457025,75457617,75458165,75460733,75466130,75472371,75475343,75476909,75480334,75481284,75489567,75513315,75538958,75577903,75634894,75779789,75849387,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,2,1,1,0,-1,
2	NM_033313	chr1	+	100590610	100723514	100591098	100722610	11	100590610,100591905,100615689,100628875,100662365,100678075,100681077,100693548,100700794,100706099,100722435,	100591147,100591996,100615765,100628968,100662445,100678142,100681140,100693636,100701025,100706238,100723514,	0	CDC14A	cmpl	cmpl	0,1,2,0,0,2,0,0,1,1,2,
2	NM_033312	chr1	+	100590610	100737609	100591098	100737523	15	100590610,100591905,100615689,100628875,100662365,100678075,100681077,100693548,100700794,100706099,100722435,100732961,100734145,100736228,100737072,	100591147,100591996,100615765,100628968,100662445,100678142,100681140,100693636,100701025,100706238,100722595,100733074,100734193,100736351,100737609,	0	CDC14A	cmpl	cmpl	0,1,2,0,0,2,0,0,1,1,2,0,2,2,2,
3	NM_003292	chr1	-	184547408	184611080	184549725	184610783	51	184547408,184550383,184553236,184554201,184554487,184556066,184558072,184558272,184559440,184561518,184561858,184563214,184567252,184567949,184568876,184570079,184570822,184571092,184572250,184572767,184573787,184575396,184576782,184577006,184579080,184579660,184580129,184581334,184581889,184583046,184585977,184587084,184587730,184589442,184591164,184591389,184592040,184593151,184594297,184595553,184596027,184596519,184597376,184597543,184598042,184598591,184599096,184603640,184606724,184609113,184610632,	184549781,184550479,184553355,184554358,184554583,184556173,184558167,184558341,184559625,184561609,184561990,184563415,184567336,184568098,184569149,184570288,184570884,184571298,184572449,184572911,184573998,184575527,184576914,184577144,184579228,184579845,184580333,184581451,184582042,184583213,184586143,184587225,184587865,184589605,184591313,184591523,184592204,184593378,184594405,184595751,184596119,184596660,184597464,184597624,184598135,184598756,184599200,184603737,184606798,184609218,184611080,	0	TPR	cmpl	cmpl	1,1,2,1,1,2,0,0,1,0,0,0,0,1,1,2,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0,1,0,1,1,0,
3	NM_001303232	chr1	+	184532027	184550317	184532630	184549533	12	184532027,184532600,184535845,184537346,184539862,184542072,184545547,184546788,184547194,184547929,184548523,184549435,	184532048,184532706,184535968,184537466,184540012,184544895,184545625,184546925,184547351,184548127,184548649,184550317,	0	PRG4	cmpl	cmpl	-1,0,1,1,1,1,1,1,0,1,1,1,
3	NM_005807	chr1	+	184532027	184550317	184532630	184549533	13	184532027,184532600,184535845,184537346,184539862,184540548,184542072,184545547,184546788,184547194,184547929,184548523,184549435,	184532048,184532706,184535968,184537466,184540012,184540677,184544895,184545625,184546925,184547351,184548127,184548649,184550317,	0	PRG4	cmpl	cmpl	-1,0,1,1,1,1,1,1,1,0,1,1,1,
3	NM_000130	chr1	-	167747815	167822393	167750174	167822248	25	167747815,167751305,167754273,167756381,167759058,167759662,167760698,167761762,167763776,167765469,167766647,167772367,167776155,167780157,167782303,167785662,167786501,167788418,167791043,167792507,167795014,167796415,167808082,167818292,167822090,	167750321,167751488,167754425,167756526,167759214,167759766,167760770,167761879,167763956,167765680,167766884,167772542,167778976,167780370,167782454,167785877,167786601,167788596,167791209,167792729,167795158,167796628,167808205,167818384,167822393,	0	F5	cmpl	cmpl	0,0,1,0,0,1,1,1,1,0,0,2,1,1,0,1,0,2,1,1,1,1,1,2,0,
3	NM_001127709	chr1	+	184532027	184550317	184532630	184549533	11	184532027,184532600,184535845,184537346,184542072,184545547,184546788,184547194,184547929,184548523,184549435,	184532048,184532706,184535968,184537466,184544895,184545625,184546925,184547351,184548127,184548649,184550317,	0	PRG4	cmpl	cmpl	-1,0,1,1,1,1,1,0,1,1,1,
3	NM_001127710	chr1	+	184532027	184550317	184532630	184549533	10	184532027,184532600,184537346,184542072,184545547,184546788,184547194,184547929,184548523,184549435,	184532048,184532706,184537466,184544895,184545625,184546925,184547351,184548127,184548649,184550317,	0	PRG4	cmpl	cmpl	-1,0,1,1,1,1,0,1,1,1,
3	NM_001127708	chr1	+	184532027	184550317	184532630	184549533	12	184532027,184532600,184537346,184539862,184540548,184542072,184545547,184546788,184547194,184547929,184548523,184549435,	184532048,184532706,184537466,184540012,184540677,184544895,184545625,184546925,184547351,184548127,184548649,184550317,	0	PRG4	cmpl	cmpl	-1,0,1,1,1,1,1,1,0,1,1,1,
4	NM_001098623	chr1	+	226462453	226633198	226466107	226633119	105	226462453,226466089,226467764,226468497,226469113,226469886,226470744,226471336,226478782,226497506,226498619,226499736,226500851,226504288,226510974,226518439,226522853,226528093,226528501,226528895,226530083,226530773,226531253,226531483,226532077,226533012,226533498,226534144,226534502,226534853,226536256,226537341,226537826,226540401,226541096,226542017,226542384,226542948,226546221,226546846,226547676,226548475,226549103,226560695,226561224,226561582,226562434,226563422,226563807,226570170,226571032,226571787,226572215,226573207,226575667,226577651,226587183,226587522,226587906,226588835,226589138,226589403,226590114,226590523,226591327,226591567,226592267,226592613,226593176,226594268,226594829,226595047,226595418,226595760,226596442,226604213,226605164,226605644,226607274,226616899,226619304,226619759,226620397,226620723,226621131,226621298,226622209,226622662,226623045,226623459,226624265,226624516,226625002,226625346,226628255,226628637,226628908,226630025,226630331,226631116,226631375,226631812,226632254,226632594,226632941,	226462509,226467095,226468034,226468758,226469422,226470153,226471026,226471612,226479058,226497782,226498895,226500012,226501127,226504564,226511250,226518715,226523129,226528372,226528768,226529165,226530350,226531040,226531366,226531637,226532182,226533279,226533768,226534411,226534769,226535120,226536529,226537608,226538093,226540674,226541363,226542284,226542648,226543212,226546485,226547110,226547940,226548739,226549367,226560962,226561491,226561855,226562707,226563619,226563883,226570443,226571308,226572075,226572497,226573578,226576538,226577930,226587262,226587647,226588104,226588868,226589237,226589622,226590175,226590594,226591450,226591707,226592468,226592696,226593350,226594425,226594946,226595212,226595577,226595938,226596556,226604381,226605267,226605774,226607386,226617079,226619401,226619884,226620510,226620892,226621213,226621499,226622270,226622740,226623218,226623486,226624418,226624562,226625080,226627405,226628336,226628748,226629076,226630148,226630502,226631198,226631615,226632036,226632330,226632744,226633198,	0	OBSCN	cmpl	cmpl	-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,1,1,0,0,2,2,0,0,0,0,1,1,1,2,0,1,1,2,1,0,1,2,2,0,0,2,2,2,0,0,1,1,1,1,1,1,2,2,1,2,2,
4	NM_001143943	chr1	+	243200253	243355153	243200343	243351873	7	243200253,243247166,243289310,243312007,243313366,243313546,243351844,	243200368,243247251,243289383,243312087,243313409,243313613,243355153,	0	EFCAB2	cmpl	cmpl	0,1,2,0,2,0,1,
4	NM_001290327	chr1	+	243200253	243317771	243232102	243317285	8	243200253,243232045,243247166,243289310,243312007,243313366,243313546,243317169,	243200368,243232157,243247251,243289383,243312087,243313409,243313613,243317771,	0	EFCAB2	cmpl	cmpl	-1,0,1,2,0,2,0,1,
4	NM_052843	chr1	+	226462453	226615574	226466107	226615079	81	226462453,226466089,226467764,226468497,226469113,226469886,226470744,226471336,226478782,226497506,226498619,226499736,226500851,226504288,226510974,226518439,226522853,226528093,226528501,226528895,226530083,226530773,226531253,226531483,226532077,226533012,226533498,226534144,226534502,226534853,226536256,226537341,226537826,226540401,226541096,226542017,226542384,226542948,226546221,226546846,226547676,226548475,226549103,226560695,226561224,226561582,226562434,226563422,226563807,226570170,226571032,226571787,226572215,226573207,226575667,226577651,226587183,226587522,226587906,226588835,226589138,226589403,226590114,226590523,226591327,226591567,226592267,226592613,226593176,226594268,226594829,226595047,226595418,226595760,226596442,226604213,226605164,226605644,226607274,226610474,226613920,	226462509,226467095,226468034,226468758,226469422,226470153,226471026,226471612,226479058,226497782,226498895,226500012,226501127,226504564,226511250,226518715,226523129,226528372,226528768,226529165,226530350,226531040,226531366,226531637,226532182,226533279,226533768,226534411,226534769,226535120,226536529,226537608,226538093,226540674,226541363,226542284,226542648,226543212,226546485,226547110,226547940,226548739,226549367,226560962,226561491,226561855,226562707,226563619,226563883,226570443,226571308,226572075,226572497,226573578,226576538,226577930,226587262,226587647,226588104,226588868,226589237,226589622,226590175,226590594,226591450,226591707,226592468,226592696,226593350,226594425,226594946,226595212,226595577,226595938,226596556,226604381,226605267,226605774,226607386,226610517,226615574,	0	OBSCN	cmpl	cmpl	-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,1,1,0,0,2,2,0,0,0,0,1,1,1,2,0,1,2,
4	NM_032328	chr1	+	243199793	243317771	243200343	243317285	8	243199793,243200253,243247166,243289310,243312007,243313366,243313546,243317169,	243199968,243200368,243247251,243289383,243312087,243313409,243313613,243317771,	0	EFCAB2	cmpl	cmpl	-1,0,1,2,0,2,0,1,
4	NM_001271223	chr1	+	226462453	226633198	226466107	226633119	116	226462453,226466089,226467764,226468497,226469113,226469886,226470744,226471336,226473647,226478782,226497506,226498619,226499736,226500851,226504288,226510974,226513824,226518439,226522853,226526248,226527595,226528093,226528501,226528895,226530083,226530773,226531253,226531483,226531828,226532077,226533012,226533498,226534144,226534502,226534853,226536256,226537341,226537826,226540401,226541096,226542017,226542384,226542948,226546221,226546846,226547676,226548475,226549103,226552777,226553582,226554205,226557998,226558626,226559446,226560695,226561224,226561582,226562434,226563422,226563807,226570170,226571032,226571787,226572215,226573207,226575667,226577651,226587183,226587522,226587906,226588835,226589138,226589403,226590114,226590523,226591327,226591567,226592267,226592613,226593176,226594268,226594829,226595047,226595418,226595760,226596442,226604213,226605164,226605644,226607274,226616899,226619304,226619759,226620397,226620723,226621131,226621298,226622209,226622662,226623045,226623459,226624265,226624516,226625002,226625346,226628255,226628637,226628908,226630025,226630331,226631116,226631375,226631812,226632260,226632594,226632941,	226462509,226467095,226468034,226468758,226469422,226470153,226471026,226471612,226473923,226479058,226497782,226498895,226500012,226501127,226504564,226511250,226514100,226518715,226523129,226526545,226527871,226528372,226528768,226529165,226530350,226531040,226531366,226531637,226531990,226532182,226533279,226533768,226534411,226534769,226535120,226536529,226537608,226538093,226540674,226541363,226542284,226542648,226543212,226546485,226547110,226547940,226548739,226549367,226553041,226553846,226554469,226558262,226558890,226559710,226560962,226561491,226561855,226562707,226563619,226563883,226570443,226571308,226572075,226572497,226573578,226576538,226577930,226587262,226587647,226588104,226588868,226589237,226589622,226590175,226590594,226591450,226591707,226592468,226592696,226593350,226594425,226594946,226595212,226595577,226595938,226596556,226604381,226605267,226605774,226607386,226617079,226619401,226619884,226620510,226620892,226621213,226621499,226622270,226622740,226623218,226623486,226624418,226624562,226625080,226627405,226628336,226628748,226629076,226630148,226630502,226631198,226631615,226632036,226632330,226632744,226633198,	0	OBSCN	cmpl	cmpl	-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,2,1,1,0,0,2,2,0,0,0,0,1,1,1,2,0,1,1,2,1,0,1,2,2,0,0,2,2,2,0,0,1,1,1,1,1,1,2,2,1,2,2,
4	NR_026587	chr1	+	243200253	243355153	243355153	243355153	6	243200253,243289310,243312007,243313366,243313546,243351844,	243200368,243289383,243312087,243313409,243313613,243355153,	0	EFCAB2	unk	unk	-1,-1,-1,-1,-1,-1,
9	NM_181864	chr1	-	6246918	6368470	6247243	6368313	9	6246918,6263748,6277510,6301138,6309945,6316123,6322079,6332395,6368140,	6247342,6263933,6277627,6301225,6310060,6316215,6322236,6332513,6368470,	0	ACOT7	cmpl	cmpl	0,1,1,1,0,1,0,2,0,
9	NM_001350805	chr1	+	1995284	2106698	2072112	2106308	15	1995284,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	1995574,2056646,2065640,2067604,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	-1,-1,-1,-1,-1,0,0,2,2,0,1,1,0,0,2,
9	NM_001033582	chr1	+	2026014	2106698	2065637	2106308	15	2026014,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	2026194,2056646,2065640,2067407,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	-1,-1,0,0,1,0,0,2,2,0,1,1,0,0,2,
9	NM_001350803	chr1	+	1994760	2106698	2065637	2106308	15	1994760,2056560,2065508,2067325,2070170,2072088,2077293,2090792,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	1995228,2056646,2065640,2067407,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	-1,-1,0,0,1,0,0,2,2,0,1,1,0,0,2,
9	NR_146911	chr1	+	1994760	2106698	2106698	2106698	16	1994760,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2103130,2105881,2106220,	1995228,2056646,2065640,2067407,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2103213,2105997,2106698,	0	PRKCZ	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
9	NM_001350806	chr1	+	1994760	2106698	2072112	2106308	15	1994760,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	1995228,2056646,2065640,2067604,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	-1,-1,-1,-1,-1,0,0,2,2,0,1,1,0,0,2,
9	NM_181866	chr1	-	6246918	6341591	6247243	6341492	9	6246918,6263748,6277510,6301138,6309945,6316123,6322079,6332395,6341472,	6247342,6263933,6277627,6301225,6310060,6316215,6322236,6332513,6341591,	0	ACOT7	cmpl	cmpl	0,1,1,1,0,1,0,2,0,
9	NM_181865	chr1	-	6246918	6343351	6247243	6343299	9	6246918,6263748,6277510,6301138,6309945,6316123,6322079,6332395,6343216,	6247342,6263933,6277627,6301225,6310060,6316215,6322236,6332513,6343351,	0	ACOT7	cmpl	cmpl	0,1,1,1,0,1,0,2,0,
9	NM_002744	chr1	+	1971768	2106698	1971929	2106308	18	1971768,1976739,1977782,1980839,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	1972000,1976861,1977872,1980890,2056646,2065640,2067407,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	0,2,1,1,1,0,0,1,0,0,2,2,0,1,1,0,0,2,
9	NM_199454	chr1	+	2975601	3345045	2975683	3340235	17	2975601,3092548,3150510,3291575,3302914,3309214,3311162,3311918,3317807,3320983,3324251,3325090,3332004,3332474,3337295,3338389,3340157,	2975720,3092898,3150561,3291710,3303017,3309422,3311310,3312072,3319224,3321071,3324421,3325168,3332174,3332649,3337532,3338564,3345045,	0	PRDM16	cmpl	cmpl	0,1,0,0,0,1,2,0,1,2,0,2,2,1,2,2,0,
9	NM_001033581	chr1	+	1994760	2106698	2065637	2106308	15	1994760,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	1995228,2056646,2065640,2067407,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	-1,-1,0,0,1,0,0,2,2,0,1,1,0,0,2,
9	NM_001242874	chr1	+	1995284	2106698	1995552	2106308	15	1995284,2056560,2065508,2067325,2070170,2072088,2077293,2090816,2093353,2093599,2095195,2096052,2096522,2105881,2106220,	1995574,2056646,2065640,2067407,2070223,2072277,2077391,2090903,2093489,2093687,2095315,2096132,2096612,2105997,2106698,	0	PRKCZ	cmpl	cmpl	0,1,0,0,1,0,0,2,2,0,1,1,0,0,2,
9	NM_022114	chr1	+	2975601	3345045	2975683	3340235	17	2975601,3092548,3150510,3291575,3302914,3309214,3311162,3311918,3317807,3320983,3324251,3325090,3332004,3332474,3337295,3338389,3340100,	2975720,3092898,3150561,3291710,3303017,3309422,3311310,3312072,3319224,3321071,3324421,3325168,3332174,3332649,3337532,3338564,3345045,	0	PRDM16	cmpl	cmpl	0,1,0,0,0,1,2,0,1,2,0,2,2,1,2,2,0,
9	NM_007274	chr1	-	6246918	6376413	6247243	6376046	9	6246918,6263748,6277510,6301138,6309945,6316123,6322079,6332395,6375903,	6247342,6263933,6277627,6301225,6310060,6316215,6322236,6332513,6376413,	0	ACOT7	cmpl	cmpl	0,1,1,1,0,1,0,2,0,
